slug,payer,category,source_url,pdf_path,exit_code,status,compatibility_class,form_type,is_xfa,is_supported_acroform,can_fill_values,supported_fillable_field_count,field_count,validation_message,error
aetna-il-rx-prior-auth,Aetna,pharmacy,https://www.aetna.com/content/dam/aetna/pdfs/health-care-professionals/GR-69025-7-IL-Approved-Remediation-IL-DOI-Form-PA-Rx-Drug-Form.pdf,aetna-il-rx-prior-auth.pdf,0,inspect-ok,inspect-only,acroform,False,True,True,92,93,PDF contains a supported AcroForm.,
aetna-ma-imaging-prior-auth,Aetna,medical,https://www.aetna.com/content/dam/aetna/pdfs/aetnacom/healthcare-professionals/documents-forms/ma-ct-cta-mri-mra-prior-auth-form.pdf,aetna-ma-imaging-prior-auth.pdf,0,inspect-ok,inspect-only,acroform,False,True,True,207,208,PDF contains a supported AcroForm.,
aetna-nh-rx-prior-auth,Aetna,pharmacy,https://www.aetna.com/content/dam/aetna/pdfs/aetnacom/healthcare-professionals/documents-forms/nh-prescription-drug-prior-authorization-form.pdf,aetna-nh-rx-prior-auth.pdf,0,inspect-ok,inspect-only,acroform,False,True,True,67,68,PDF contains a supported AcroForm.,
anthem-ny-medical-injectables,Anthem,medical,https://providers.anthem.com/docs/gpp/NY_ABC_CAID_MedicalInjectablesPAForm.pdf,anthem-ny-medical-injectables.pdf,1,unsupported,unsupported,none,False,False,False,0,0,PDF does not contain a form.,
anthem-va-pharmacy-prior-auth,Anthem,pharmacy,https://providers.anthem.com/docs/gpp/VA_CAID_PriorAuthorizationForm.pdf,anthem-va-pharmacy-prior-auth.pdf,0,inspect-ok,inspect-only,acroform,False,True,True,75,75,PDF contains a supported AcroForm.,
bcbsil-bcchp-uniform-pa,BCBSIL,pharmacy,https://www.bcbsil.com/docs/provider/il/education/forms/il-bcchp-uniform-pa-form.pdf,bcbsil-bcchp-uniform-pa.pdf,0,inspect-ok,inspect-only,acroform,False,True,True,47,48,PDF contains a supported AcroForm.,
bcbsks-prior-authorization-request,BCBSKS,medical,https://www.bcbsks.com/documents/prior-authorization-request-form-15-18,bcbsks-prior-authorization-request.pdf,0,inspect-ok,inspect-only,acroform,False,True,True,31,32,PDF contains a supported AcroForm.,
bcbsla-general-prior-auth,BCBSLA,medical,https://providers.bcbsla.com/-/media/Files/Providers/Blue%20Advantage%20Resources/General_Prior_Authorization_Form%20pdf.pdf,bcbsla-general-prior-auth.pdf,1,unsupported,unsupported,none,False,False,False,0,0,PDF does not contain a form.,
bcbsri-cymbalta-pa-guide,BCBSRI,pharmacy,https://www.bcbsri.com/sites/default/files/forms/PAGuideCymbalta_2.pdf,bcbsri-cymbalta-pa-guide.pdf,1,unsupported,unsupported,none,False,False,False,0,0,PDF does not contain a form.,
bcbstx-health-services-standard-pa,BCBSTX,medical,https://www.bcbstx.com/docs/provider/tx/provider-medicaid/tx-standard-pa-request-form-nofr001.pdf,bcbstx-health-services-standard-pa.pdf,1,unsupported,unsupported,none,False,False,False,0,0,PDF does not contain a form.,
